PitchNumber,CandidatePitchType,Ball,Hit,Strike,Undefined,Walk,BestStrikePotential,PitcherId,BatterId
1,TwoSeamFastBall,10.83,29.4,29.53,2.22,28.02,TwoSeamFastBall,1000066910.0,1000032366.0
1,Sinker,11.92,31.84,28.18,2.22,25.83,TwoSeamFastBall,1000066910.0,1000032366.0
1,Slider,12.71,30.65,27.22,2.16,27.27,TwoSeamFastBall,1000066910.0,1000032366.0
1,ChangeUp,12.83,30.54,26.16,2.13,28.35,TwoSeamFastBall,1000066910.0,1000032366.0
1,Fastball,13.26,30.96,25.07,1.92,28.79,TwoSeamFastBall,1000066910.0,1000032366.0
1,FourSeamFastBall,13.78,30.85,26.06,2.24,27.07,TwoSeamFastBall,1000066910.0,1000032366.0
2,TwoSeamFastBall,10.82,29.43,29.54,2.22,27.98,TwoSeamFastBall,1000066910.0,1000032366.0
2,Slider,12.7,30.7,27.25,2.15,27.21,TwoSeamFastBall,1000066910.0,1000032366.0
2,ChangeUp,12.82,30.57,26.18,2.12,28.31,TwoSeamFastBall,1000066910.0,1000032366.0
2,Sinker,11.91,31.89,28.19,2.21,25.8,TwoSeamFastBall,1000066910.0,1000032366.0
2,Fastball,13.25,31.01,25.1,1.92,28.73,TwoSeamFastBall,1000066910.0,1000032366.0
2,FourSeamFastBall,13.78,30.89,26.09,2.23,27.01,TwoSeamFastBall,1000066910.0,1000032366.0
3,FourSeamFastBall,13.78,30.91,26.1,2.23,26.98,TwoSeamFastBall,1000066910.0,1000032366.0
3,ChangeUp,12.81,30.59,26.19,2.12,28.29,TwoSeamFastBall,1000066910.0,1000032366.0
3,Slider,12.69,30.72,27.26,2.15,27.18,TwoSeamFastBall,1000066910.0,1000032366.0
3,TwoSeamFastBall,10.82,29.45,29.55,2.22,27.97,TwoSeamFastBall,1000066910.0,1000032366.0
3,Fastball,13.25,31.03,25.11,1.91,28.7,TwoSeamFastBall,1000066910.0,1000032366.0
3,Sinker,11.91,31.92,28.19,2.21,25.78,TwoSeamFastBall,1000066910.0,1000032366.0
