PitchNumber,CandidatePitchType,Ball,Hit,Strike,Undefined,Walk,BestStrikePotential,PitcherId,BatterId
1,0.7214124153833273,9.86,77.99,8.13,3.13,0.9,0.7214124153833273,1000066910.0,1000032366.0
1,0.7216967893772162,9.86,77.99,8.13,3.13,0.9,0.7214124153833273,1000066910.0,1000032366.0
1,0.7558855999552191,9.86,77.99,8.13,3.13,0.9,0.7214124153833273,1000066910.0,1000032366.0
1,0.7136097717652264,9.86,77.99,8.13,3.13,0.9,0.7214124153833273,1000066910.0,1000032366.0
1,0.8158066848007647,9.86,77.99,8.13,3.13,0.9,0.7214124153833273,1000066910.0,1000032366.0
1,0.6989457217909218,9.86,77.99,8.13,3.13,0.9,0.7214124153833273,1000066910.0,1000032366.0
2,0.7558855999552191,9.98,77.83,8.15,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
2,0.6989457217909218,9.98,77.83,8.15,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
2,0.8158066848007647,9.98,77.83,8.15,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
2,0.7216967893772162,9.98,77.83,8.15,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
2,0.7214124153833273,9.98,77.83,8.15,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
2,0.7136097717652264,9.98,77.83,8.15,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
3,0.7558855999552191,10.05,77.75,8.16,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
3,0.7214124153833273,10.05,77.75,8.16,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
3,0.8158066848007647,10.05,77.75,8.16,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
3,0.7216967893772162,10.05,77.75,8.16,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
3,0.7136097717652264,10.05,77.75,8.16,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
3,0.6989457217909218,10.05,77.75,8.16,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
4,0.7558855999552191,10.09,77.7,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
4,0.7216967893772162,10.09,77.7,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
4,0.6989457217909218,10.09,77.7,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
4,0.7136097717652264,10.09,77.7,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
4,0.8158066848007647,10.09,77.7,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
4,0.7214124153833273,10.09,77.7,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
5,0.6989457217909218,10.1,77.68,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
5,0.7558855999552191,10.1,77.68,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
5,0.7214124153833273,10.1,77.68,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
5,0.7136097717652264,10.1,77.68,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
5,0.8158066848007647,10.1,77.68,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
5,0.7216967893772162,10.1,77.68,8.17,3.14,0.9,0.7214124153833273,1000066910.0,1000032366.0
6,0.6989457217909218,10.11,77.67,8.17,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
