PitchType,Ball,Hit,Strike,Undefined,Walk,PitcherId,BatterId,PitchNumber,RecommendedPitch
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,1,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,2,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,3,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,4,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,5,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,6,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,7,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,8,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,9,Four-Seam
Four-Seam,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
Sinker,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
ChangeUp,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
Splitter,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
Fastball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
Curveball,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
Other,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
Slider,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
Missing,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
FourSeamFastBall,0.0,100.0,0.0,0.0,0.0,1000081442.0,805328.0,10,Four-Seam
