PitchType,BallCalled,BallIntentional,BallinDirt,FoulBall,FoulBallFieldable,FoulBallNotFieldable,HitByPitch,InPlay,StrikeCalled,StrikeSwinging,Undefined,PitcherId,BatterId,PitchNumber,RecommendedPitch
TwoSeamFastBall,20.88,0.05,0.02,0.0,0.01,1.24,0.01,50.0,25.46,2.33,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Slider,21.05,0.04,0.02,0.0,0.01,1.2,0.01,50.0,25.43,2.23,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
ChangeUp,21.82,0.04,0.03,0.0,0.01,1.05,0.01,50.0,25.21,1.84,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Fastball,21.55,0.04,0.03,0.0,0.01,1.1,0.01,50.0,25.3,1.97,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
FourSeamFastBall,21.42,0.04,0.03,0.0,0.01,1.13,0.01,50.0,25.34,2.03,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Sinker,21.11,0.04,0.02,0.0,0.01,1.19,0.01,50.0,25.42,2.2,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
TwoSeamFastBall,20.88,0.05,0.02,0.0,0.01,1.24,0.01,50.0,25.46,2.33,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Slider,21.05,0.04,0.02,0.0,0.01,1.2,0.01,50.0,25.43,2.23,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
ChangeUp,21.82,0.04,0.03,0.0,0.01,1.05,0.01,50.0,25.21,1.84,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Fastball,21.55,0.04,0.03,0.0,0.01,1.1,0.01,50.0,25.3,1.97,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
FourSeamFastBall,21.42,0.04,0.03,0.0,0.01,1.13,0.01,50.0,25.34,2.03,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Sinker,21.11,0.04,0.02,0.0,0.01,1.19,0.01,50.0,25.42,2.2,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
TwoSeamFastBall,20.88,0.05,0.02,0.0,0.01,1.24,0.01,50.0,25.46,2.33,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Slider,21.05,0.04,0.02,0.0,0.01,1.2,0.01,50.0,25.43,2.23,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
ChangeUp,21.82,0.04,0.03,0.0,0.01,1.05,0.01,50.0,25.21,1.84,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Fastball,21.55,0.04,0.03,0.0,0.01,1.1,0.01,50.0,25.3,1.97,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
FourSeamFastBall,21.42,0.04,0.03,0.0,0.01,1.13,0.01,50.0,25.34,2.03,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Sinker,21.11,0.04,0.02,0.0,0.01,1.19,0.01,50.0,25.42,2.2,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
TwoSeamFastBall,20.88,0.05,0.02,0.0,0.01,1.24,0.01,50.0,25.46,2.33,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Slider,21.05,0.04,0.02,0.0,0.01,1.2,0.01,50.0,25.43,2.23,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
ChangeUp,21.82,0.04,0.03,0.0,0.01,1.05,0.01,50.0,25.21,1.84,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Fastball,21.55,0.04,0.03,0.0,0.01,1.1,0.01,50.0,25.3,1.97,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
FourSeamFastBall,21.42,0.04,0.03,0.0,0.01,1.13,0.01,50.0,25.34,2.03,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Sinker,21.11,0.04,0.02,0.0,0.01,1.19,0.01,50.0,25.42,2.2,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
TwoSeamFastBall,20.88,0.05,0.02,0.0,0.01,1.24,0.01,50.0,25.46,2.33,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
Slider,21.05,0.04,0.02,0.0,0.01,1.2,0.01,50.0,25.43,2.23,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
ChangeUp,21.82,0.04,0.03,0.0,0.01,1.05,0.01,50.0,25.21,1.84,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
Fastball,21.55,0.04,0.03,0.0,0.01,1.1,0.01,50.0,25.3,1.97,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
FourSeamFastBall,21.42,0.04,0.03,0.0,0.01,1.13,0.01,50.0,25.34,2.03,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
