PitchType,Ball,Hit,Strike,Undefined,Walk,PitcherId,BatterId,PitchNumber,RecommendedPitch
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,1,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,2,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,3,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,4,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,5,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,6,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,7,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,8,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
Missing,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
FourSeamFastBall,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,9,ChangeUp
ChangeUp,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
Slider,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
Sinker,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
Curveball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
Other,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
Splitter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
Fastball,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
Cutter,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
Four-Seam,50.0,16.67,33.33,0.0,0.0,1000080153.0,805328.0,10,ChangeUp
