PitchType,BallCalled,BallIntentional,BallinDirt,FoulBall,FoulBallFieldable,FoulBallNotFieldable,HitByPitch,InPlay,StrikeCalled,StrikeSwinging,Undefined,PitcherId,BatterId,PitchNumber,RecommendedPitch
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,1,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,2,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,3,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,4,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,5,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,6,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,7,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
TwoSeamFastBall,17.09,0.06,0.0,0.0,0.01,2.63,0.0,50.0,25.73,4.47,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
Slider,17.25,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.52,4.5,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
ChangeUp,18.01,0.07,0.0,0.0,0.01,2.75,0.0,50.0,24.54,4.61,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
Fastball,17.73,0.07,0.0,0.0,0.01,2.72,0.0,50.0,24.88,4.58,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
FourSeamFastBall,17.6,0.06,0.0,0.0,0.01,2.7,0.0,50.0,25.05,4.56,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
Sinker,17.3,0.06,0.0,0.0,0.01,2.66,0.0,50.0,25.45,4.51,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
